№,Начало,Конец,Длительность,Блок,Что звучит/смысл,Материал,Тип,Статус,Операторское действие
152,879.924,885.55,5.63,B06,"Erebus и Terror найдены. Показать находку кораблей как начало нового этапа, а не конец расследования.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
153,885.55,891.176,5.63,B06,"Erebus и Terror найдены. Показать находку кораблей как начало нового этапа, а не конец расследования.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
154,891.176,896.803,5.63,B06,"Erebus и Terror найдены. Показать находку кораблей как начало нового этапа, а не конец расследования.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
155,896.803,902.429,5.63,B06,"Erebus и Terror найдены. Показать находку кораблей как начало нового этапа, а не конец расследования.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
156,902.429,908.186,5.76,B06,"Финал: история сохраняет следы. Спокойно завершить фильм: ответы есть, но последнее молчание остаётся.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
157,908.186,913.943,5.76,B06,"Финал: история сохраняет следы. Спокойно завершить фильм: ответы есть, но последнее молчание остаётся.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
158,913.943,919.7,5.76,B06,"Финал: история сохраняет следы. Спокойно завершить фильм: ответы есть, но последнее молчание остаётся.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
159,919.7,925.457,5.76,B06,"Финал: история сохраняет следы. Спокойно завершить фильм: ответы есть, но последнее молчание остаётся.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
160,925.457,931.214,5.76,B06,"Финал: история сохраняет следы. Спокойно завершить фильм: ответы есть, но последнее молчание остаётся.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
161,931.214,936.972,5.76,B06,"Финал: история сохраняет следы. Спокойно завершить фильм: ответы есть, но последнее молчание остаётся.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
162,936.972,942.729,5.76,B06,"Финал: история сохраняет следы. Спокойно завершить фильм: ответы есть, но последнее молчание остаётся.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
163,942.729,948.486,5.76,B06,"Финал: история сохраняет следы. Спокойно завершить фильм: ответы есть, но последнее молчание остаётся.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
164,948.486,954.243,5.76,B06,"Финал: история сохраняет следы. Спокойно завершить фильм: ответы есть, но последнее молчание остаётся.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
165,954.243,960.0,5.76,B06,"Финал: история сохраняет следы. Спокойно завершить фильм: ответы есть, но последнее молчание остаётся.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
