priority,scene_id,scene_title,visual_need,reason,prompt
4,S17,Erebus и Terror найдены,closed hatch,Шот 148 не имеет назначенного материала; нужен для сцены 'Erebus и Terror найдены'.,"Ultra photorealistic historical documentary frame. Scene: Erebus и Terror найдены. Required visual: closed hatch. Emotion: открытие и удивление. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S17,Erebus и Terror найдены,interior cabin,Шот 149 не имеет назначенного материала; нужен для сцены 'Erebus и Terror найдены'.,"Ultra photorealistic historical documentary frame. Scene: Erebus и Terror найдены. Required visual: interior cabin. Emotion: открытие и удивление. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S17,Erebus и Terror найдены,shipwreck hull,Шот 151 не имеет назначенного материала; нужен для сцены 'Erebus и Terror найдены'.,"Ultra photorealistic historical documentary frame. Scene: Erebus и Terror найдены. Required visual: shipwreck hull. Emotion: открытие и удивление. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S17,Erebus и Terror найдены,closed hatch,Шот 152 не имеет назначенного материала; нужен для сцены 'Erebus и Terror найдены'.,"Ultra photorealistic historical documentary frame. Scene: Erebus и Terror найдены. Required visual: closed hatch. Emotion: открытие и удивление. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S17,Erebus и Terror найдены,interior cabin,Шот 153 не имеет назначенного материала; нужен для сцены 'Erebus и Terror найдены'.,"Ultra photorealistic historical documentary frame. Scene: Erebus и Terror найдены. Required visual: interior cabin. Emotion: открытие и удивление. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S17,Erebus и Terror найдены,shipwreck hull,Шот 155 не имеет назначенного материала; нужен для сцены 'Erebus и Terror найдены'.,"Ultra photorealistic historical documentary frame. Scene: Erebus и Terror найдены. Required visual: shipwreck hull. Emotion: открытие и удивление. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S18,Финал: история сохраняет следы,empty horizon,Шот 157 не имеет назначенного материала; нужен для сцены 'Финал: история сохраняет следы'.,"Ultra photorealistic historical documentary frame. Scene: Финал: история сохраняет следы. Required visual: empty horizon. Emotion: уважение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S18,Финал: история сохраняет следы,atlas logo,Шот 159 не имеет назначенного материала; нужен для сцены 'Финал: история сохраняет следы'.,"Ultra photorealistic historical documentary frame. Scene: Финал: история сохраняет следы. Required visual: atlas logo. Emotion: уважение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S18,Финал: история сохраняет следы,empty horizon,Шот 161 не имеет назначенного материала; нужен для сцены 'Финал: история сохраняет следы'.,"Ultra photorealistic historical documentary frame. Scene: Финал: история сохраняет следы. Required visual: empty horizon. Emotion: уважение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S18,Финал: история сохраняет следы,atlas logo,Шот 163 не имеет назначенного материала; нужен для сцены 'Финал: история сохраняет следы'.,"Ultra photorealistic historical documentary frame. Scene: Финал: история сохраняет следы. Required visual: atlas logo. Emotion: уважение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S18,Финал: история сохраняет следы,empty horizon,Шот 165 не имеет назначенного материала; нужен для сцены 'Финал: история сохраняет следы'.,"Ultra photorealistic historical documentary frame. Scene: Финал: история сохраняет следы. Required visual: empty horizon. Emotion: уважение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
